allen, 850, 800, 800, 850, 380, 700, 700, 1500, 1300, 2000, 3500, 3500, 4500, NL, 2000, 1600, 1600
burrow, 750, 750, 2000, 2000, NL, NL, NL, 4000, 2000, 700, 1000, NL, NL, NL, NL, NL, NL
herbert, 1200, 1200, 1800, 1600, 1800, 2500, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL, NL
hurts, 1100, 1000, 850, 750, 700, 700, 750, 500, 400, 350, 280, 250, 130, 350, 650, 1500, 2500
jackson, NL, 1500, 1200, 1500, 1100, 2000, 1800, 650, 550, 350, 425, 350, 400, 900, 475, 450, -160
mahomes, 600, 700, 700, 550, 550, 450, 450, 275, 400, 350, 300, 400, 350, 900, 1600, 2500, 3500
mccaffrey, NL, NL, NL, NL, 2000, 1400, 1500, 2000, 2000, 1400, 1800, 2200, 1600, 1600, 4000, 1000, 400
prescott, NL, NL, 1500, NL, NL, NL, NL, NL, NL, NL, NL, 1500, 750, 350, 150, 600, 2000
purdy, NL, NL, NL, 2000, 2200, 700, 1100, 1400, 2200, 3500, 2000, 1500, 1500, 300, 185, -200, 600
tagovailoa, NL, 700, 600, 380, 500, 475, 350, 400, 300, 650, 550, 500, 900, 700, 2000, 2800, 1200
