,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2017,21,CAR,RB,22,16,10,117,435,2,22,45.3,40,3.7,27.2,7.3,113,80,651,8.1,5,37,50.4,37,5.0,40.7,70.8%,5.8,197,5.5,1086,7,2,9,
2018,22,CAR,RB,22,16,16,219,1098,7,53,54.3,59,5.0,68.6,13.7,124,107,867,8.1,6,41,55.6,38,6.7,54.2,86.3%,7.0,326,6.0,1965,13,4,16,AP2
2019*+,23,CAR,RB,22,16,16,287,1387,15,57,46.3,84,4.8,86.7,17.9,142,116,1005,8.7,4,58,59.9,28,7.3,62.8,81.7%,7.1,403,5.9,2392,19,1,15,AP OPoY-3 AP1 PB
2020,24,CAR,RB,22,3,3,59,225,5,14,57.6,15,3.8,75.0,19.7,19,17,149,8.8,1,8,52.6,24,5.7,49.7,89.5%,7.8,76,4.9,374,6,0,3,
2021,25,CAR,RB,22,7,7,99,442,1,20,50.5,18,4.5,63.1,14.1,41,37,343,9.3,1,21,65.9,32,5.3,49.0,90.2%,8.4,136,5.8,785,2,1,5,
2022*,26,2TM,RB,,17,16,244,1139,8,59,48.4,49,4.7,67.0,14.4,108,85,741,8.7,5,36,52.8,49,5.0,43.6,78.7%,6.9,329,5.7,1880,13,1,15,AP OPoY-7 AP CPoY-2 PB
*,,CAR,RB,22,6,6,85,393,2,20,49.4,49,4.6,65.5,14.2,43,33,277,8.4,1,10,41.9,49,5.5,46.2,76.7%,6.4,118,5.7,670,3,0,5,AP OPoY-7 AP CPoY-2 PB
*,,SFO,RB,23,11,10,159,746,6,39,47.8,38,4.7,67.8,14.5,65,52,464,8.9,4,26,60.0,38,4.7,42.2,80.0%,7.1,211,5.7,1210,10,1,10,AP OPoY-7 AP CPoY-2 PB
2023*,27,SFO,RB,23,16,16,272,1459,14,83,54.0,72,5.4,91.2,17.0,83,67,564,8.4,7,31,55.4,41,4.2,35.3,80.7%,6.8,339,6.0,2023,21,3,,PB
Career,Career,,,,91,84,1297,6185,52,308,50.4,84,4.8,68.0,14.3,630,509,4320,8.5,29,232,55.7,49,5.6,47.5,80.8%,6.9,1806,5.8,10505,81,12,63,
6 yrs,6 yrs,CAR,,,64,58,866,3980,32,186,49.8,84,4.6,62.2,13.5,482,390,3292,8.4,18,175,55.2,49,6.1,51.4,80.9%,6.8,1256,5.8,7272,50,8,53,
2 yrs,2 yrs,SFO,,,27,26,431,2205,20,122,51.7,72,5.1,81.7,16.0,148,119,1028,8.6,11,57,57.4,41,4.4,38.1,80.4%,6.9,550,5.9,3233,31,4,10,
