,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,
Date,Team,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Sk,Yds,Sk%,NY/A,ANY/A,Att,Yds,TD,Lng,Y/A,Fmb
2023-12-10,LAC,,DEN,L 7-24,9,17,52.9,96,0,0.0,1,5.9,18,5.6,3.00,10.7,45.2,4,37,19.05,2.81,0.67,0,0,0,0,,0
2023-12-03,LAC,@,NWE,W 6-0,22,37,59.5,212,0,0.0,0,0.0,27,5.7,5.73,9.6,75.5,0,0,0.00,5.73,5.73,4,-5,0,1,-1.3,0
2023-11-26,LAC,,BAL,L 10-20,29,44,65.9,217,1,2.3,1,2.3,31,4.9,4.36,7.5,75.7,3,24,6.38,4.11,3.57,4,47,0,35,11.8,1
2023-11-19,LAC,@,GNB,L 20-23,21,36,58.3,260,2,5.6,0,0.0,51,7.2,8.33,12.4,99.3,2,16,5.26,6.42,7.47,8,73,0,28,9.1,1
2023-11-12,LAC,,DET,L 38-41,27,40,67.5,323,4,10.0,1,2.5,38,8.1,8.95,12.0,114.9,0,0,0.00,8.08,8.95,4,15,0,13,3.8,0
2023-11-06,LAC,@,NYJ,W 27-6,16,30,53.3,136,0,0.0,0,0.0,23,4.5,4.53,8.5,65.4,5,29,14.29,3.06,3.06,3,17,0,10,5.7,1
2023-10-29,LAC,,CHI,W 30-13,31,40,77.5,298,3,7.5,0,0.0,39,7.5,8.95,9.6,122.7,0,0,0.00,7.45,8.95,1,1,0,1,1.0,0
2023-10-22,LAC,@,KAN,L 17-31,17,30,56.7,259,1,3.3,2,6.7,60,8.6,6.30,15.2,68.6,5,40,14.29,6.26,4.26,2,5,0,6,2.5,0
2023-10-16,LAC,,DAL,L 17-20,22,37,59.5,227,2,5.4,1,2.7,28,6.1,6.00,10.3,84.0,1,8,2.63,5.76,5.63,6,20,0,9,3.3,0
2023-10-01,LAC,,LVR,W 24-17,13,24,54.2,167,1,4.2,1,4.2,51,7.0,5.92,12.8,72.7,2,17,7.69,5.77,4.81,12,27,2,15,2.3,0
2023-09-24,LAC,@,MIN,W 28-24,40,47,85.1,405,3,6.4,0,0.0,35,8.6,9.89,10.1,123.8,1,9,2.08,8.25,9.50,2,11,0,12,5.5,1
2023-09-17,LAC,@,TEN,L 24-27 (OT),27,41,65.9,305,2,4.9,0,0.0,42,7.4,8.41,11.3,104.2,3,24,6.82,6.39,7.30,1,0,0,0,0.0,0
2023-09-10,LAC,,MIA,L 34-36,23,33,69.7,229,1,3.0,0,0.0,36,6.9,7.55,10.0,99.2,3,29,8.33,5.56,6.11,5,17,1,5,3.4,0
