,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,
Date,Team,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Sk,Yds,Sk%,NY/A,ANY/A,Att,Yds,TD,Lng,Y/A,Fmb
2024-01-07,PHI,@,NYG,L 10-27,7,16,43.8,55,0,0.0,1,6.3,12,3.4,0.63,7.9,26.8,2,26,11.11,1.61,-0.89,2,4,0,2,2.0,0
2023-12-31,PHI,,ARI,L 31-35,18,23,78.3,167,3,13.0,1,4.3,23,7.3,7.91,9.3,118.4,0,0,0.00,7.26,7.91,8,25,0,13,3.1,0
2023-12-25,PHI,,NYG,W 33-25,24,38,63.2,301,1,2.6,1,2.6,36,7.9,7.26,12.5,85.5,1,6,2.56,7.56,6.92,8,34,1,16,4.3,1
2023-12-18,PHI,@,SEA,L 17-20,17,31,54.8,143,0,0.0,2,6.5,18,4.6,1.71,8.4,40.1,0,0,0.00,4.61,1.71,13,82,2,20,6.3,0
2023-12-10,PHI,@,DAL,L 13-33,18,27,66.7,197,0,0.0,0,0.0,30,7.3,7.30,10.9,88.0,1,7,3.57,6.79,6.79,5,30,0,11,6.0,1
2023-12-03,PHI,,SFO,L 19-42,26,45,57.8,298,1,2.2,0,0.0,38,6.6,7.07,11.5,85.2,3,27,6.25,5.65,6.06,7,20,1,7,2.9,1
2023-11-26,PHI,,BUF,W 37-34 (OT),18,31,58.1,200,3,9.7,1,3.2,33,6.5,6.94,11.1,96.2,2,7,6.06,5.85,6.30,14,65,2,16,4.6,1
2023-11-20,PHI,@,KAN,W 21-17,14,22,63.6,150,0,0.0,1,4.5,41,6.8,4.77,10.7,64.6,5,26,18.52,4.59,2.93,12,29,2,10,2.4,1
2023-11-05,PHI,,DAL,W 28-23,17,23,73.9,207,2,8.7,0,0.0,29,9.0,10.74,12.2,130.2,3,24,11.54,7.04,8.58,10,36,1,6,3.6,1
2023-10-29,PHI,@,WAS,W 38-31,29,38,76.3,319,4,10.5,0,0.0,38,8.4,10.50,11.0,135.7,2,4,5.00,7.88,9.88,4,6,0,7,1.5,1
2023-10-22,PHI,,MIA,W 31-17,23,31,74.2,279,2,6.5,1,3.2,42,9.0,8.84,12.1,109.5,3,23,8.82,7.53,7.38,11,21,1,12,1.9,1
2023-10-15,PHI,@,NYJ,L 14-20,28,45,62.2,280,1,2.2,3,6.7,49,6.2,3.67,10.0,59.5,2,12,4.26,5.70,3.26,8,47,1,11,5.9,0
2023-10-08,PHI,@,LAR,W 23-14,25,38,65.8,303,1,2.6,1,2.6,49,8.0,7.32,12.1,87.9,1,8,2.56,7.56,6.92,15,72,1,17,4.8,0
2023-10-01,PHI,,WAS,W 34-31 (OT),25,37,67.6,319,2,5.4,0,0.0,59,8.6,9.70,12.8,112.3,3,8,7.50,7.78,8.78,9,34,0,24,3.8,0
2023-09-25,PHI,@,TAM,W 25-11,23,37,62.2,277,1,2.7,2,5.4,34,7.5,5.59,12.0,71.6,1,6,2.63,7.13,5.29,10,28,1,8,2.8,0
2023-09-14,PHI,,MIN,W 34-28,18,23,78.3,193,1,4.3,1,4.3,63,8.4,7.30,10.7,98.0,4,22,14.81,6.33,5.41,12,35,2,8,2.9,0
2023-09-10,PHI,@,NWE,W 25-20,22,33,66.7,170,1,3.0,0,0.0,23,5.2,5.76,7.7,89.2,3,16,8.33,4.28,4.83,9,37,0,14,4.1,1
