,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,
Date,Team,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Sk,Yds,Sk%,NY/A,ANY/A,Att,Yds,TD,Lng,Y/A,Fmb
2023-12-31,BAL,,MIA,W 56-19,18,21,85.7,321,5,23.8,0,0.0,75,15.3,20.05,17.8,158.3,1,9,4.55,14.18,18.73,6,35,0,18,5.8,0
2023-12-25,BAL,@,SFO,W 33-19,23,35,65.7,252,2,5.7,0,0.0,39,7.2,8.34,11.0,105.9,2,11,5.41,6.51,7.59,7,45,0,30,6.4,0
2023-12-17,BAL,@,JAX,W 23-7,14,24,58.3,171,1,4.2,1,4.2,26,7.1,6.08,12.2,76.9,3,26,11.11,5.37,4.44,12,97,0,21,8.1,0
2023-12-10,BAL,,LAR,W 37-31 (OT),24,43,55.8,316,3,7.0,1,2.3,54,7.3,7.70,13.2,92.8,2,6,4.44,6.89,7.22,11,70,0,16,6.4,0
2023-11-26,BAL,@,LAC,W 20-10,18,32,56.3,177,1,3.1,0,0.0,21,5.5,6.16,9.8,82.4,2,13,5.88,4.82,5.41,11,39,0,8,3.5,1
2023-11-16,BAL,,CIN,W 34-20,16,26,61.5,264,2,7.7,0,0.0,51,10.2,11.69,16.5,121.3,3,16,10.34,8.55,9.93,9,54,0,8,6.0,0
2023-11-12,BAL,,CLE,L 31-33,13,23,56.5,223,1,4.3,2,8.7,40,9.7,6.65,17.2,67.8,3,23,11.54,7.69,5.00,8,41,0,9,5.1,0
2023-11-05,BAL,,SEA,W 37-3,21,26,80.8,187,0,0.0,0,0.0,17,7.2,7.19,8.9,96.6,1,8,3.70,6.63,6.63,10,60,0,23,6.0,2
2023-10-29,BAL,@,ARI,W 31-24,18,27,66.7,157,1,3.7,0,0.0,29,5.8,6.56,8.7,94.2,4,19,12.90,4.45,5.10,5,17,0,13,3.4,0
2023-10-22,BAL,,DET,W 38-6,21,27,77.8,357,3,11.1,0,0.0,80,13.2,15.44,17.0,155.8,0,0,0.00,13.22,15.44,9,36,1,10,4.0,1
2023-10-15,BAL,@,TEN,W 24-16,21,30,70.0,223,1,3.3,1,3.3,38,7.4,6.60,10.6,88.6,1,2,3.23,7.13,6.32,13,62,0,12,4.8,0
2023-10-08,BAL,@,PIT,L 10-17,22,38,57.9,236,0,0.0,1,2.6,30,6.2,5.03,10.7,65.2,4,26,9.52,5.00,3.93,6,45,0,26,7.5,1
2023-10-01,BAL,@,CLE,W 28-3,15,19,78.9,186,2,10.5,0,0.0,43,9.8,11.89,12.4,142.5,3,21,13.64,7.50,9.32,9,27,2,10,3.0,2
2023-09-24,BAL,,IND,L 19-22 (OT),22,31,71.0,202,0,0.0,0,0.0,24,6.5,6.52,9.2,88.4,4,24,11.43,5.09,5.09,14,101,2,16,7.2,2
2023-09-17,BAL,@,CIN,W 27-24,24,33,72.7,237,2,6.1,0,0.0,52,7.2,8.39,9.9,112.8,0,0,0.00,7.18,8.39,12,54,0,12,4.5,0
2023-09-10,BAL,,HOU,W 25-9,17,22,77.3,169,0,0.0,1,4.5,29,7.7,5.64,9.9,79.5,4,14,15.38,5.96,4.23,6,38,0,14,6.3,2
