,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,
Date,Team,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Sk,Yds,Sk%,NY/A,ANY/A,Att,Yds,TD,Lng,Y/A,Fmb
2023-12-31,KAN,,CIN,W 25-17,21,29,72.4,245,1,3.4,0,0.0,67,8.4,9.14,11.7,109.1,2,4,6.45,7.77,8.42,4,2,0,2,0.5,1
2023-12-25,KAN,,LVR,L 14-20,27,44,61.4,235,1,2.3,1,2.3,45,5.3,4.77,8.7,73.6,4,23,8.33,4.42,3.90,10,53,0,13,5.3,1
2023-12-17,KAN,@,NWE,W 27-17,27,37,73.0,305,2,5.4,2,5.4,48,8.2,6.89,11.3,92.7,3,26,7.50,6.98,5.73,3,-5,0,-1,-1.7,0
2023-12-10,KAN,,BUF,L 17-20,25,43,58.1,271,1,2.3,1,2.3,23,6.3,5.72,10.8,74.9,1,7,2.27,6.00,5.43,1,8,0,8,8.0,0
2023-12-03,KAN,@,GNB,L 19-27,21,33,63.6,210,1,3.0,1,3.0,27,6.4,5.61,10.0,79.1,3,21,8.33,5.25,4.56,4,26,0,10,6.5,0
2023-11-26,KAN,@,LVR,W 31-17,27,34,79.4,298,2,5.9,0,0.0,39,8.8,9.94,11.0,122.8,1,7,2.86,8.31,9.46,5,9,0,7,1.8,0
2023-11-20,KAN,,PHI,L 17-21,24,43,55.8,177,2,4.7,1,2.3,17,4.1,4.00,7.4,71.6,1,9,2.27,3.82,3.70,6,38,0,14,6.3,0
2023-11-05,KAN,,MIA,W 21-14,20,30,66.7,185,2,6.7,0,0.0,25,6.2,7.50,9.3,105.6,2,11,6.25,5.44,6.69,6,24,0,16,4.0,1
2023-10-29,KAN,@,DEN,L 9-24,24,38,63.2,240,0,0.0,2,5.3,39,6.3,3.95,10.0,59.1,3,28,7.32,5.17,2.98,3,20,0,8,6.7,1
2023-10-22,KAN,,LAC,W 31-17,32,42,76.2,424,4,9.5,1,2.4,53,10.1,10.93,13.3,129.5,1,9,2.33,9.65,10.47,4,29,0,23,7.3,0
2023-10-12,KAN,,DEN,W 19-8,30,40,75.0,306,1,2.5,1,2.5,40,7.7,7.03,10.2,94.4,2,13,4.76,6.98,6.38,6,31,0,15,5.2,0
2023-10-08,KAN,@,MIN,W 27-20,31,41,75.6,281,2,4.9,0,0.0,33,6.9,7.83,9.1,109.9,2,15,4.65,6.19,7.12,0,0,0,0,,0
2023-10-01,KAN,@,NYJ,W 23-20,18,30,60.0,203,1,3.3,2,6.7,34,6.8,4.43,11.3,63.6,1,6,3.23,6.35,4.10,7,51,0,25,7.3,1
2023-09-24,KAN,,CHI,W 41-10,24,33,72.7,272,3,9.1,0,0.0,37,8.2,10.06,11.3,127.3,0,0,0.00,8.24,10.06,3,28,0,15,9.3,0
2023-09-17,KAN,@,JAX,W 17-9,29,41,70.7,305,2,4.9,1,2.4,54,7.4,7.32,10.5,98.1,1,7,2.38,7.10,6.98,7,30,0,14,4.3,0
2023-09-07,KAN,,DET,L 20-21,21,39,53.8,226,2,5.1,1,2.6,34,5.8,5.67,10.8,77.5,0,0,0.00,5.79,5.67,6,45,0,16,7.5,0
