,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,
Date,Team,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Sk,Yds,Sk%,NY/A,ANY/A,Att,Yds,TD,Lng,Y/A,Fmb
2024-01-07,DAL,@,WAS,W 38-10,31,36,86.1,279,4,11.1,1,2.8,32,7.8,8.72,9.0,124.4,0,0,0.00,7.75,8.72,0,0,0,0,,0
2023-12-30,DAL,,DET,W 20-19,26,38,68.4,345,2,5.3,1,2.6,92,9.1,8.95,13.3,103.5,3,22,7.32,7.88,7.76,2,5,0,5,2.5,1
2023-12-24,DAL,@,MIA,L 20-22,20,32,62.5,253,2,6.3,0,0.0,49,7.9,9.16,12.7,107.9,4,11,11.11,6.72,7.83,5,25,0,22,5.0,1
2023-12-17,DAL,@,BUF,L 10-31,21,34,61.8,134,0,0.0,1,2.9,16,3.9,2.62,6.4,57.7,3,28,8.11,2.86,1.65,4,27,0,13,6.8,0
2023-12-10,DAL,,PHI,W 33-13,24,39,61.5,271,2,5.1,0,0.0,39,6.9,7.97,11.3,99.4,3,15,7.14,6.10,7.05,3,11,0,4,3.7,1
2023-11-30,DAL,,SEA,W 41-35,29,41,70.7,299,3,7.3,0,0.0,23,7.3,8.76,10.3,115.8,4,24,8.89,6.11,7.44,7,23,0,8,3.3,0
2023-11-23,DAL,,WAS,W 45-10,22,32,68.8,331,4,12.5,0,0.0,35,10.3,12.84,15.0,142.1,0,0,0.00,10.34,12.84,1,10,0,10,10.0,0
2023-11-19,DAL,@,CAR,W 33-10,25,38,65.8,189,2,5.3,0,0.0,24,5.0,6.03,7.6,95.2,0,0,0.00,4.97,6.03,2,6,0,3,3.0,0
2023-11-12,DAL,,NYG,W 49-17,26,35,74.3,404,4,11.4,1,2.9,41,11.5,12.54,15.5,138.3,0,0,0.00,11.54,12.54,2,17,1,10,8.5,0
2023-11-05,DAL,@,PHI,L 23-28,29,44,65.9,374,3,6.8,0,0.0,40,8.5,9.86,12.9,115.2,5,41,10.20,6.80,8.02,6,14,0,6,2.3,1
2023-10-29,DAL,,LAR,W 43-20,25,31,80.6,304,4,12.9,1,3.2,26,9.8,10.94,12.2,133.7,3,22,8.82,8.29,9.32,4,19,0,9,4.8,0
2023-10-16,DAL,@,LAC,W 20-17,21,30,70.0,272,1,3.3,0,0.0,60,9.1,9.73,13.0,109.3,5,26,14.29,7.03,7.60,7,40,1,18,5.7,0
2023-10-08,DAL,@,SFO,L 10-42,14,24,58.3,153,1,4.2,3,12.5,29,6.4,1.58,10.9,51.6,3,13,11.11,5.19,0.93,1,2,0,2,2.0,0
2023-10-01,DAL,,NWE,W 38-3,28,34,82.4,261,1,2.9,0,0.0,29,7.7,8.26,9.3,108.5,3,28,8.11,6.30,6.84,1,-1,0,-1,-1.0,0
2023-09-24,DAL,@,ARI,L 16-28,25,40,62.5,249,1,2.5,1,2.5,32,6.2,5.60,10.0,78.0,2,18,4.76,5.50,4.90,3,24,0,13,8.0,0
2023-09-17,DAL,,NYJ,W 30-10,31,38,81.6,255,2,5.3,0,0.0,31,6.7,7.76,8.2,112.2,1,7,2.56,6.36,7.38,6,14,0,15,2.3,0
2023-09-10,DAL,@,NYG,W 40-0,13,24,54.2,143,0,0.0,0,0.0,49,6.0,5.96,11.0,72.0,0,0,0.00,5.96,5.96,1,6,0,6,6.0,0
