,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,
Date,Team,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Sk,Yds,Sk%,NY/A,ANY/A,Att,Yds,TD,Lng,Y/A,Fmb
2024-01-07,SFO,,LAR,L 20-21,0,0,,0,0,,,,,,,,,,,,,,0,0,0,,,
2023-12-31,SFO,@,WAS,W 27-10,22,28,78.6,230,2,7.1,0,0.0,38,8.2,9.64,10.5,124.7,0,0,0.00,8.21,9.64,1,4,0,4,4.0,0
2023-12-25,SFO,,BAL,L 19-33,18,32,56.3,255,0,0.0,4,12.5,58,8.0,2.34,14.2,42.6,2,8,5.88,7.26,1.97,1,2,0,2,2.0,0
2023-12-17,SFO,@,ARI,W 45-29,16,25,64.0,242,4,16.0,0,0.0,41,9.7,12.88,15.1,135.3,0,0,0.00,9.68,12.88,0,0,0,0,,0
2023-12-10,SFO,,SEA,W 28-16,19,27,70.4,368,2,7.4,1,3.7,54,13.6,13.44,19.4,122.1,3,14,10.00,11.80,11.63,2,7,0,8,3.5,0
2023-12-03,SFO,@,PHI,W 42-19,19,27,70.4,314,4,14.8,0,0.0,48,11.6,14.59,16.5,148.8,2,4,6.90,10.69,13.45,2,9,0,6,4.5,0
2023-11-23,SFO,@,SEA,W 31-13,21,30,70.0,209,1,3.3,1,3.3,28,7.0,6.13,10.0,86.7,1,1,3.23,6.71,5.90,3,1,0,3,0.3,0
2023-11-19,SFO,,TAM,W 27-14,21,25,84.0,333,3,12.0,0,0.0,76,13.3,15.72,15.9,158.3,4,28,13.79,10.52,12.59,4,14,0,13,3.5,0
2023-11-12,SFO,@,JAX,W 34-3,19,26,73.1,296,3,11.5,0,0.0,66,11.4,13.69,15.6,148.9,2,9,7.14,10.25,12.39,0,0,0,0,,0
2023-10-29,SFO,,CIN,L 17-31,22,31,71.0,365,1,3.2,2,6.5,41,11.8,9.52,16.6,94.2,2,18,6.06,10.52,8.39,6,57,0,16,9.5,1
2023-10-23,SFO,@,MIN,L 17-22,21,30,70.0,272,1,3.3,2,6.7,35,9.1,6.73,13.0,81.5,1,12,3.23,8.39,6.13,5,19,0,17,3.8,0
2023-10-15,SFO,@,CLE,L 17-19,12,27,44.4,125,1,3.7,1,3.7,33,4.6,3.70,10.4,55.3,3,18,10.00,3.57,2.73,3,7,0,5,2.3,1
2023-10-08,SFO,,DAL,W 42-10,17,24,70.8,252,4,16.7,0,0.0,42,10.5,13.83,14.8,144.4,1,2,4.00,10.00,13.20,0,0,0,0,,0
2023-10-01,SFO,,ARI,W 35-16,20,21,95.2,283,1,4.8,0,0.0,42,13.5,14.43,14.2,134.6,1,12,4.55,12.32,13.23,2,0,1,1,0.0,0
2023-09-21,SFO,,NYG,W 30-12,25,37,67.6,310,2,5.4,0,0.0,40,8.4,9.46,12.4,111.3,2,10,5.13,7.69,8.72,4,-1,0,1,-0.3,1
2023-09-17,SFO,@,LAR,W 30-23,17,25,68.0,206,0,0.0,0,0.0,31,8.2,8.24,12.1,93.1,1,0,3.85,7.92,7.92,3,5,1,4,1.7,1
2023-09-10,SFO,@,PIT,W 30-7,19,29,65.5,220,2,6.9,0,0.0,23,7.6,8.97,11.6,111.3,3,17,9.38,6.34,7.59,3,20,0,17,6.7,2
