,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,
Date,Team,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Rate,Sk,Yds,Sk%,NY/A,ANY/A,Att,Yds,TD,Lng,Y/A,Fmb
2024-01-07,MIA,,BUF,L 14-21,17,27,63.0,173,1,3.7,2,7.4,24,6.4,3.81,10.2,62.7,0,0,0.00,6.41,3.81,1,7,0,7,7.0,0
2023-12-31,MIA,@,BAL,L 19-56,22,38,57.9,237,2,5.3,2,5.3,25,6.2,4.92,10.8,71.9,3,16,7.32,5.39,4.17,2,14,0,9,7.0,0
2023-12-24,MIA,,DAL,W 22-20,24,37,64.9,293,1,2.7,0,0.0,50,7.9,8.46,12.2,98.1,1,9,2.63,7.47,8.00,2,-2,0,-1,-1.0,1
2023-12-17,MIA,,NYJ,W 30-0,21,24,87.5,224,1,4.2,0,0.0,60,9.3,10.17,10.7,119.4,3,15,11.11,7.74,8.48,0,0,0,0,,0
2023-12-11,MIA,,TEN,L 27-28,23,33,69.7,240,0,0.0,0,0.0,25,7.3,7.27,10.4,90.5,5,32,13.16,5.47,5.47,3,15,0,8,5.0,2
2023-12-03,MIA,@,WAS,W 45-15,18,24,75.0,280,2,8.3,0,0.0,78,11.7,13.33,15.6,141.0,0,0,0.00,11.67,13.33,0,0,0,0,,0
2023-11-24,MIA,@,NYJ,W 34-13,21,30,70.0,243,1,3.3,2,6.7,35,8.1,5.77,11.6,77.5,2,15,6.25,7.13,4.94,2,1,0,1,0.5,1
2023-11-19,MIA,,LVR,W 20-13,28,39,71.8,325,2,5.1,1,2.6,38,8.3,8.21,11.6,103.0,1,2,2.50,8.08,7.95,2,6,0,7,3.0,1
2023-11-05,MIA,@,KAN,L 14-21,21,34,61.8,193,1,2.9,0,0.0,31,5.7,6.26,9.2,87.0,3,18,8.11,4.73,5.27,2,7,0,7,3.5,1
2023-10-29,MIA,,NWE,W 31-17,30,45,66.7,324,3,6.7,1,2.2,42,7.2,7.53,10.8,100.6,2,12,4.26,6.64,6.96,6,8,0,8,1.3,1
2023-10-22,MIA,@,PHI,L 17-31,23,32,71.9,216,1,3.1,1,3.1,29,6.8,5.97,9.4,87.5,3,10,8.57,5.89,5.17,1,-3,0,-3,-3.0,0
2023-10-15,MIA,,CAR,W 42-21,21,31,67.7,262,3,9.7,0,0.0,47,8.5,10.39,12.5,126.0,0,0,0.00,8.45,10.39,1,0,0,0,0.0,1
2023-10-08,MIA,,NYG,W 31-16,22,30,73.3,308,2,6.7,2,6.7,69,10.3,8.60,14.0,100.4,1,6,3.23,9.74,8.13,2,6,0,7,3.0,0
2023-10-01,MIA,@,BUF,L 20-48,25,35,71.4,282,1,2.9,1,2.9,23,8.1,7.34,11.3,92.8,4,31,10.26,6.44,5.79,2,7,0,4,3.5,1
2023-09-24,MIA,,DEN,W 70-20,23,26,88.5,309,4,15.4,0,0.0,54,11.9,14.96,13.4,155.8,0,0,0.00,11.88,14.96,0,0,0,0,,0
2023-09-17,MIA,@,NWE,W 24-17,21,30,70.0,249,1,3.3,1,3.3,32,8.3,7.47,11.9,92.2,1,5,3.23,7.87,7.06,4,3,0,4,0.8,2
2023-09-10,MIA,@,LAC,W 36-34,28,45,62.2,466,3,6.7,1,2.2,47,10.4,10.69,16.6,110.0,0,0,0.00,10.36,10.69,5,5,0,7,1.0,2
